codigo,nombre,codigo_madre,nivel,orden,imputable,elemento,clasificacion_corriente_no_corriente,rubro,cuenta,subcuenta,requiere_auxiliar,tipo_auxiliar,es_regularizadora,cuenta_regularizada_codigo,tipo_regularizadora,saldo_normal,significado_saldo_normal,permite_saldo_deudor,significado_saldo_deudor,permite_saldo_acreedor,significado_saldo_acreedor,alertar_saldo_invertido,tratamiento_saldo_invertido,requiere_reclasificacion_saldo_invertido,monetaria_no_monetaria,criterio_medicion,ajustable,participa_recpam,admite_moneda_extranjera,requiere_tipo_cambio,genera_diferencia_cambio,es_cuenta_modelo,permite_copiar_modelo,uso_operativo_sistema,modulo_sugerido,presentacion_estado_contable,orden_presentacion,cuando_debitar,cuando_acreditar,errores_frecuentes,observaciones,estado
2.1.05.04,Señas Recibidas,2.1.05.00,4,286,1,PASIVO,CORRIENTE,Anticipo de Clientes,,Señas Recibidas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,ANTICIPOS_CLIENTES,Ventas/Cobranzas,,286,,,,,ACTIVA
2.1.05.05,Depósitos Recibidos en Garantía,2.1.05.00,4,287,1,PASIVO,CORRIENTE,Anticipo de Clientes,,Depósitos Recibidos en Garantía,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,ANTICIPOS_CLIENTES,Ventas/Cobranzas,,287,,,,,ACTIVA
2.1.06.00,Dividendos a Pagar,2.10.00.00,4,288,0,PASIVO,CORRIENTE,,Dividendos a Pagar,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,288,,,,,ACTIVA
2.1.06.01,Dividendos a Pagar,2.1.06.00,4,289,0,PASIVO,CORRIENTE,Dividendos a Pagar,Dividendos a Pagar,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,289,,,,,ACTIVA
2.1.06.01.1,Dividendos en Efectivo a Pagar,2.1.06.01,5,290,1,PASIVO,CORRIENTE,Dividendos a Pagar,,Dividendos en Efectivo a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,290,,,,,ACTIVA
2.1.07.00,Otras Deudas,2.10.00.00,4,291,0,PASIVO,CORRIENTE,,Otras Deudas,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,291,,,,,ACTIVA
2.1.07.01,Alquileres Cobrados p/ Adelantado,2.1.07.00,4,292,1,PASIVO,CORRIENTE,Otras Deudas,,Alquileres Cobrados p/ Adelantado,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,292,,,,,ACTIVA
2.1.07.02,Rentas Cobradas por Adelantado,2.1.07.00,4,293,1,PASIVO,CORRIENTE,Otras Deudas,,Rentas Cobradas por Adelantado,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,293,,,,,ACTIVA
2.1.07.03,Seguros Cobrados p/ Adelantado,2.1.07.00,4,294,1,PASIVO,CORRIENTE,Otras Deudas,,Seguros Cobrados p/ Adelantado,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,294,,,,,ACTIVA
2.1.07.04,Intereses Cobrados por Adelantado,2.1.07.00,4,295,1,PASIVO,CORRIENTE,Otras Deudas,,Intereses Cobrados por Adelantado,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,295,,,,,ACTIVA
2.1.07.05,Comisiones Cobradas p/ Adelantadas,2.1.07.00,4,296,1,PASIVO,CORRIENTE,Otras Deudas,,Comisiones Cobradas p/ Adelantadas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,296,,,,,ACTIVA
2.1.07.06,Alquileres a Pagar,2.1.07.00,4,297,1,PASIVO,CORRIENTE,Otras Deudas,,Alquileres a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,297,,,,,ACTIVA
2.1.07.07,Alquiler Salón de Ventas a Pagar,2.1.07.00,4,298,1,PASIVO,CORRIENTE,Otras Deudas,,Alquiler Salón de Ventas a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,298,,,,,ACTIVA
2.1.07.08,Inmueble p/ Alquiler a Pagar,2.1.07.00,4,299,1,PASIVO,CORRIENTE,Otras Deudas,,Inmueble p/ Alquiler a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,299,,,,,ACTIVA
2.1.07.09,Gastos a Pagar,2.1.07.00,4,300,1,PASIVO,CORRIENTE,Otras Deudas,,Gastos a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,300,,,,,ACTIVA
2.1.07.10,Seguros a Pagar,2.1.07.00,4,301,1,PASIVO,CORRIENTE,Otras Deudas,,Seguros a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,301,,,,,ACTIVA
2.1.07.11,Comisiones a Pagar,2.1.07.00,4,302,1,PASIVO,CORRIENTE,Otras Deudas,,Comisiones a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,302,,,,,ACTIVA
2.1.07.12,Fletes a Pagar,2.1.07.00,4,303,1,PASIVO,CORRIENTE,Otras Deudas,,Fletes a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,303,,,,,ACTIVA
2.1.07.13,Honorarios a Pagar,2.1.07.00,4,304,1,PASIVO,CORRIENTE,Otras Deudas,,Honorarios a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,304,,,,,ACTIVA
2.1.07.14,Intereses a Pagar,2.1.07.00,4,305,1,PASIVO,CORRIENTE,Otras Deudas,,Intereses a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,305,,,,,ACTIVA
2.1.07.15,Concesiones y Franquicias a Pagar,2.1.07.00,4,306,1,PASIVO,CORRIENTE,Otras Deudas,,Concesiones y Franquicias a Pagar,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,306,,,,,ACTIVA
2.1.07.16,Provisión por Gastos,2.1.07.00,4,307,1,PASIVO,CORRIENTE,Otras Deudas,,Provisión por Gastos,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,307,,,,,ACTIVA
2.1.07.17,Deudas Diversas,2.1.07.00,4,308,1,PASIVO,CORRIENTE,Otras Deudas,,Deudas Diversas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,308,,,,,ACTIVA
2.1.07.18,(-) Intereses Negativos a Devengar,2.1.07.00,4,309,1,PASIVO,CORRIENTE,Otras Deudas,,(-) Intereses Negativos a Devengar,0,,1,2.1.07.00,INTERESES_A_DEVENGAR,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,309,,,,,ACTIVA
2.1.07.19,(-) Comisiones Negativas a Devengar,2.1.07.00,4,310,1,PASIVO,CORRIENTE,Otras Deudas,,(-) Comisiones Negativas a Devengar,0,,1,2.1.07.00,INTERESES_A_DEVENGAR,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,310,,,,,ACTIVA
2.1.08.00,Previsiones,2.10.00.00,4,311,0,PASIVO,CORRIENTE,,Previsiones,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,311,,,,,ACTIVA
2.1.08.01,Prev. p/ Juicios y Demandas,2.1.08.00,4,312,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Juicios y Demandas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,312,,,,,ACTIVA
2.1.08.02,Prev. p/ Garantías,2.1.08.00,4,313,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Garantías,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,313,,,,,ACTIVA
2.1.08.03,Prev. p/ Enfermedad,2.1.08.00,4,314,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Enfermedad,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,314,,,,,ACTIVA
2.1.08.04,Prev. p/ Despidos,2.1.08.00,4,315,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Despidos,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,315,,,,,ACTIVA
2.1.08.05,Prev. p/ Accidentes,2.1.08.00,4,316,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Accidentes,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,316,,,,,ACTIVA
2.1.08.06,Prev. p/ Vacaciones,2.1.08.00,4,317,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Vacaciones,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,317,,,,,ACTIVA
2.1.08.07,Prev. p/ Impuestos,2.1.08.00,4,318,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Impuestos,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,318,,,,,ACTIVA
2.1.08.08,Prev. p/ Multas e Infracciones,2.1.08.00,4,319,1,PASIVO,CORRIENTE,Previsiones,,Prev. p/ Multas e Infracciones,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,319,,,,,ACTIVA
2.20.00.00,PASIVO NO CORRIENTE,2.00.00.00,4,320,0,PASIVO,NO_CORRIENTE,,PASIVO NO CORRIENTE,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,320,,,,,ACTIVA
2.2.01.00,Deudas,2.20.00.00,4,321,1,PASIVO,NO_CORRIENTE,,,Deudas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,321,,,,Rubro no corriente análogo a deudas corrientes.,ACTIVA
2.2.08.00,Previsiones,2.20.00.00,4,322,0,PASIVO,NO_CORRIENTE,,Previsiones,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,322,,,,,ACTIVA
2.2.08.01,Previsión por Juicio,2.2.08.00,4,323,1,PASIVO,NO_CORRIENTE,Previsiones,,Previsión por Juicio,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,323,,,,,ACTIVA
2.2.08.02,Previsión por Indemnización de Despido,2.2.08.00,4,324,1,PASIVO,NO_CORRIENTE,Previsiones,,Previsión por Indemnización de Despido,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,324,,,,,ACTIVA
2.2.09.00,Participación de Terceros en Sociedades,2.20.00.00,4,325,1,PASIVO,NO_CORRIENTE,,,Participación de Terceros en Sociedades,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,325,,,,,ACTIVA
3.00.00.00,PATRIMONIO NETO,,4,326,0,PATRIMONIO_NETO,NO_APLICA,,PATRIMONIO NETO,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,326,,,,,ACTIVA
3.1.00.00,Capital,3.00.00.00,4,327,0,PATRIMONIO_NETO,NO_APLICA,,Capital,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,327,,,,,ACTIVA
3.1.01.00,Capital (Acciones en Circulación),3.1.00.00,4,328,1,PATRIMONIO_NETO,NO_APLICA,,,Capital (Acciones en Circulación),0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,CAPITAL_SOCIAL,Contabilidad,,328,,,,Lectura normalizada desde PDF escaneado.,ACTIVA
3.1.02.00,Capital Suscripto,3.1.00.00,4,329,1,PATRIMONIO_NETO,NO_APLICA,,,Capital Suscripto,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,CAPITAL_SOCIAL,Contabilidad,,329,,,,,ACTIVA
3.1.03.00,Ajustes de Capital,3.1.00.00,4,330,1,PATRIMONIO_NETO,NO_APLICA,,,Ajustes de Capital,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,AJUSTES_CAPITAL,Contabilidad,,330,,,,,ACTIVA
3.1.04.00,Aportes Irrevocables,3.1.00.00,4,331,1,PATRIMONIO_NETO,NO_APLICA,,,Aportes Irrevocables,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,CAPITAL_SOCIAL,Contabilidad,,331,,,,,ACTIVA
3.2.00.00,Prima de Emisión,3.00.00.00,4,332,0,PATRIMONIO_NETO,NO_APLICA,,Prima de Emisión,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,332,,,,,ACTIVA
3.2.01.00,Prima de Emisión de Acciones,3.2.00.00,4,333,1,PATRIMONIO_NETO,NO_APLICA,,,Prima de Emisión de Acciones,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,333,,,,,ACTIVA
3.3.00.00,Ganancias Reservadas,3.00.00.00,4,334,0,PATRIMONIO_NETO,NO_APLICA,,Ganancias Reservadas,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,334,,,,,ACTIVA
3.3.01.00,Reserva Legal,3.3.00.00,4,335,1,PATRIMONIO_NETO,NO_APLICA,,,Reserva Legal,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,RESERVA_LEGAL,Contabilidad,,335,,,,,ACTIVA
3.3.02.00,Reserva Estatutaria,3.3.00.00,4,336,1,PATRIMONIO_NETO,NO_APLICA,,,Reserva Estatutaria,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,336,,,,,ACTIVA
3.3.03.00,Reserva Facultativa,3.3.00.00,4,337,1,PATRIMONIO_NETO,NO_APLICA,,,Reserva Facultativa,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,337,,,,,ACTIVA
3.4.00.00,Resultados No Asignados,3.00.00.00,4,338,0,PATRIMONIO_NETO,NO_APLICA,,Resultados No Asignados,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,RESULTADOS_NO_ASIGNADOS,Contabilidad,,338,,,,,ACTIVA
3.4.01.00,Resultado del Ejercicio,3.4.00.00,4,339,1,PATRIMONIO_NETO,NO_APLICA,,,Resultado del Ejercicio,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,339,,,,,ACTIVA
3.4.02.00,Resultado del Ejercicio Anterior,3.4.00.00,4,340,1,PATRIMONIO_NETO,NO_APLICA,,,Resultado del Ejercicio Anterior,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,340,,,,,ACTIVA
4.00.00.00,CUENTAS DE MOVIMIENTO,,4,341,0,CUENTAS_MOVIMIENTO,NO_APLICA,,CUENTAS DE MOVIMIENTO,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,341,,,,,ACTIVA
4.1.00.00,Compras,4.00.00.00,4,342,1,CUENTAS_MOVIMIENTO,NO_APLICA,,,Compras,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,COMPRAS_MERCADERIAS,Compras,,342,,,,,ACTIVA
4.2.00.00,Compras de Materias Primas,4.00.00.00,4,343,1,CUENTAS_MOVIMIENTO,NO_APLICA,,,Compras de Materias Primas,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,MATERIAS_PRIMAS,Compras,,343,,,,,ACTIVA
4.3.00.00,Compras de Accesorios,4.00.00.00,4,344,1,CUENTAS_MOVIMIENTO,NO_APLICA,,,Compras de Accesorios,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,COMPRAS_MERCADERIAS,Compras,,344,,,,,ACTIVA
4.4.00.00,Devolución Compras,4.00.00.00,4,345,1,CUENTAS_MOVIMIENTO,NO_APLICA,,,Devolución Compras,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,COMPRAS_MERCADERIAS,Compras,,345,,,,,ACTIVA
4.5.00.00,Devolución Ventas,4.00.00.00,4,346,1,CUENTAS_MOVIMIENTO,NO_APLICA,,,Devolución Ventas,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,VENTAS,Ventas,,346,,,,,ACTIVA
5.00.00.00,CUENTAS DE INGRESOS (Ganancias),,4,347,0,INGRESOS_GANANCIAS,NO_APLICA,,CUENTAS DE INGRESOS (Ganancias),,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,347,,,,,ACTIVA
5.1.00.00,GANANCIAS ORDINARIAS,5.00.00.00,4,348,0,INGRESOS_GANANCIAS,NO_APLICA,,GANANCIAS ORDINARIAS,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,348,,,,,ACTIVA
5.1.01.00,Ventas,5.1.00.00,4,349,0,INGRESOS_GANANCIAS,NO_APLICA,,Ventas,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,VENTAS,Ventas,,349,,,,,ACTIVA
5.1.01.01,Ventas Minoristas,5.1.01.00,4,350,1,INGRESOS_GANANCIAS,NO_APLICA,Ventas,,Ventas Minoristas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,VENTAS,Ventas,,350,,,,,ACTIVA
5.1.02.00,Ventas Mayoristas,5.1.00.00,4,351,1,INGRESOS_GANANCIAS,NO_APLICA,,,Ventas Mayoristas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,VENTAS,Ventas,,351,,,,,ACTIVA
5.1.03.00,Ventas al Contado,5.1.00.00,4,352,1,INGRESOS_GANANCIAS,NO_APLICA,,,Ventas al Contado,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,VENTAS,Ventas,,352,,,,,ACTIVA
5.1.04.00,Ventas en Cuenta Corriente,5.1.00.00,4,353,1,INGRESOS_GANANCIAS,NO_APLICA,,,Ventas en Cuenta Corriente,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,VENTAS,Ventas,,353,,,,,ACTIVA
5.1.20.00,Otros Ingresos,5.1.00.00,4,354,0,INGRESOS_GANANCIAS,NO_APLICA,,Otros Ingresos,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,354,,,,,ACTIVA
5.1.20.01,Alquileres Ganados,5.1.20.00,4,355,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Alquileres Ganados,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,355,,,,,ACTIVA
5.1.20.02,Intereses Ganados,5.1.20.00,4,356,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Intereses Ganados,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,356,,,,,ACTIVA
5.1.20.03,Comisiones Ganadas,5.1.20.00,4,357,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Comisiones Ganadas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,357,,,,,ACTIVA
5.1.20.04,Dividendos Obtenidos,5.1.20.00,4,358,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Dividendos Obtenidos,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,358,,,,,ACTIVA
5.1.20.05,Descuentos Obtenidos,5.1.20.00,4,359,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Descuentos Obtenidos,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,359,,,,,ACTIVA
5.1.20.06,Renta de Valores Mobiliarios,5.1.20.00,4,360,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Renta de Valores Mobiliarios,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,360,,,,,ACTIVA
5.1.20.07,Renta Venta de Acciones,5.1.20.00,4,361,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Renta Venta de Acciones,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,361,,,,,ACTIVA
5.1.20.08,Comisiones de Inversiones Temporarias,5.1.20.00,4,362,1,INGRESOS_GANANCIAS,NO_APLICA,Otros Ingresos,,Comisiones de Inversiones Temporarias,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,362,,,,,ACTIVA
5.2.00.00,GANANCIAS EXTRAORDINARIAS,5.00.00.00,4,363,0,INGRESOS_GANANCIAS,NO_APLICA,,GANANCIAS EXTRAORDINARIAS,,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,363,,,,,ACTIVA
5.2.01.00,Sobrante de Caja,5.2.00.00,4,364,1,INGRESOS_GANANCIAS,NO_APLICA,,,Sobrante de Caja,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,SOBRANTE_CAJA,Caja,,364,,,,,ACTIVA
5.2.02.00,Sobrante de Mercaderías,5.2.00.00,4,365,1,INGRESOS_GANANCIAS,NO_APLICA,,,Sobrante de Mercaderías,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,365,,,,,ACTIVA
5.2.03.00,Diferencia Positiva de Cotización,5.2.00.00,4,366,1,INGRESOS_GANANCIAS,NO_APLICA,,,Diferencia Positiva de Cotización,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,DIFERENCIA_CAMBIO_POSITIVA,Contabilidad,,366,,,,,ACTIVA
5.2.04.00,Resultado Positivo de Ventas,5.2.00.00,4,367,1,INGRESOS_GANANCIAS,NO_APLICA,,,Resultado Positivo de Ventas,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,367,,,,,ACTIVA
5.2.05.00,Resultado por Obsolescencia Bienes de Uso,5.2.00.00,4,368,1,INGRESOS_GANANCIAS,NO_APLICA,,,Resultado por Obsolescencia Bienes de Uso,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,RESULTADO_TENENCIA_POSITIVO,Contabilidad,,368,,,,,ACTIVA
5.2.06.00,Recupero de Previsión,5.2.00.00,4,369,1,INGRESOS_GANANCIAS,NO_APLICA,,,Recupero de Previsión,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,,,,369,,,,,ACTIVA
5.2.07.00,Resultado por Tenencia Positivo,5.2.00.00,4,370,1,INGRESOS_GANANCIAS,NO_APLICA,,,Resultado por Tenencia Positivo,0,,0,,,ACREEDOR,,,,,,,,,,,,,,,,0,0,RESULTADO_TENENCIA_POSITIVO,Contabilidad,,370,,,,Cuenta agregada para resultados financieros y por tenencia.,ACTIVA
6.00.00.00,CUENTAS DE EGRESOS (Pérdidas),,4,371,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,CUENTAS DE EGRESOS (Pérdidas),,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,371,,,,,ACTIVA
6.1.00.00,GASTOS DE VENTA ADMINISTRACIÓN,6.00.00.00,4,372,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,GASTOS DE VENTA ADMINISTRACIÓN,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,372,,,,,ACTIVA
6.1.01.00,Retribuciones y Cargas Sociales,6.1.00.00,4,373,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,Retribuciones y Cargas Sociales,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,373,,,,,ACTIVA
6.1.01.01,Retribuciones,6.1.01.00,4,374,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Retribuciones y Cargas Sociales,,Retribuciones,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,SUELDOS_GASTO,Compras,,374,,,,,ACTIVA
6.1.01.02,Cargas Sociales,6.1.01.00,4,375,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Retribuciones y Cargas Sociales,,Cargas Sociales,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,CARGAS_SOCIALES_GASTO,Sueldos,,375,,,,,ACTIVA
6.1.01.03,Honorarios,6.1.01.00,4,376,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Retribuciones y Cargas Sociales,,Honorarios,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,HONORARIOS_PROFESIONALES,Compras,,376,,,,,ACTIVA
6.1.01.04,Otras,6.1.01.00,4,377,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Retribuciones y Cargas Sociales,,Otras,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,SERVICIOS_CONTRATADOS,Compras,,377,,,,,ACTIVA
6.1.02.00,Impuestos Tasas,6.1.00.00,4,378,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,Impuestos Tasas,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IMPUESTOS_TASAS_CONTRIBUCIONES,Compras/Contabilidad,,378,,,,,ACTIVA
6.1.02.01,Impuesto a los Ingresos Brutos,6.1.02.00,4,379,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Impuestos Tasas,,Impuesto a los Ingresos Brutos,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IMPUESTOS_TASAS_CONTRIBUCIONES,Compras/IVA,,379,,,,,ACTIVA
6.1.02.02,Impuesto a las Ganancias,6.1.02.00,4,380,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Impuestos Tasas,,Impuesto a las Ganancias,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IMPUESTOS_TASAS_CONTRIBUCIONES,Compras/IVA,,380,,,,,ACTIVA
6.1.02.03,Sellos,6.1.02.00,4,381,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Impuestos Tasas,,Sellos,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IMPUESTOS_TASAS_CONTRIBUCIONES,Compras/IVA,,381,,,,,ACTIVA
6.1.02.04,Tasa Comercio,6.1.02.00,4,382,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Impuestos Tasas,,Tasa Comercio,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IMPUESTOS_TASAS_CONTRIBUCIONES,Compras/IVA,,382,,,,,ACTIVA
6.1.02.10,IVA no computable / mayor costo,6.1.02.00,4,383,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Impuestos Tasas,,IVA no computable / mayor costo,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IVA_NO_COMPUTABLE_MAYOR_COSTO,Compras/IVA,,383,,,,,ACTIVA
6.1.03.00,Costo de Ventas,6.1.00.00,4,384,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,Costo de Ventas,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,CMV,Ventas/Contabilidad,,384,,,,,ACTIVA
6.1.03.01,Costo de Mercaderías Vendidas,6.1.03.00,4,385,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Costo de Ventas,,Costo de Mercaderías Vendidas,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,CMV,Ventas/Contabilidad,,385,,,,,ACTIVA
6.1.04.00,Alquileres Pagados,6.1.00.00,4,386,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,Alquileres Pagados,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,ALQUILERES,Compras,,386,,,,,ACTIVA
6.1.04.01,Alquileres,6.1.04.00,4,387,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Alquileres Pagados,,Alquileres,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,ALQUILERES,Compras,,387,,,,,ACTIVA
6.1.04.02,Impuestos y Tasas a la Propiedad,6.1.04.00,4,388,1,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,Alquileres Pagados,,Impuestos y Tasas a la Propiedad,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,IMPUESTOS_TASAS_CONTRIBUCIONES,Compras,,388,,,,,ACTIVA
6.1.05.00,Depreciaciones,6.1.00.00,4,389,0,EGRESOS_GASTOS_PERDIDAS,NO_APLICA,,Depreciaciones,,0,,0,,,DEUDOR,,,,,,,,,,,,,,,,0,0,,,,389,,,,,ACTIVA
